Timestamp,r/s,rMB/s,r_await,rareq-sz,w/s,wMB/s,w_await,wareq-sz
2024-11-05 09:16:00.510 , 186.07 , 43.47 , 1.04 , 239.25 , 245.75 , 54.81 , 2.49 , 228.38
2024-11-05 09:16:00.510 , 0.00 , 0.00 , 0.00 , 0.00 , 50.00 , 3.75 , 0.66 , 76.80
2024-11-05 09:16:00.510 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 09:16:00.510 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 09:16:00.510 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 09:16:00.510 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 09:16:00.510 , 0.00 , 0.00 , 0.00 , 0.00 , 3.00 , 0.06 , 0.67 , 20.00
2024-11-05 09:16:00.510 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 09:16:00.510 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 09:16:00.510 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 09:16:00.510 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00
2024-11-05 09:16:00.510 , 0.00 , 0.00 , 0.00 , 0.00 , 2.00 , 0.04 , 1.00 , 20.00
2024-11-05 09:16:00.510 , 2.00 , 0.06 , 3.00 , 28.50 , 260.00 , 62.93 , 1.75 , 247.85
2024-11-05 09:16:00.510 , 4.00 , 0.11 , 0.75 , 28.75 , 520.00 , 125.88 , 1.74 , 247.88
2024-11-05 09:16:00.510 , 2.00 , 0.06 , 2.50 , 28.75 , 284.00 , 68.93 , 1.74 , 248.54
2024-11-05 09:16:00.510 , 62.00 , 12.14 , 1.16 , 200.48 , 796.00 , 190.80 , 1.82 , 245.46
2024-11-05 09:16:00.510 , 1091.00 , 239.63 , 0.65 , 224.91 , 1442.00 , 264.20 , 1.44 , 187.61
2024-11-05 09:16:00.510 , 4.00 , 0.11 , 1.25 , 28.62 , 441.00 , 105.95 , 1.91 , 246.00
2024-11-05 09:16:00.510 , 2.00 , 0.06 , 2.50 , 28.75 , 352.00 , 85.93 , 1.70 , 249.98
2024-11-05 09:16:00.510 , 577.00 , 125.29 , 0.80 , 222.36 , 1295.00 , 286.50 , 2.28 , 226.54
2024-11-05 09:16:00.510 , 913.00 , 198.07 , 0.70 , 222.15 , 1272.00 , 277.50 , 1.78 , 223.39
2024-11-05 09:16:00.510 , 797.00 , 175.31 , 0.70 , 225.25 , 1323.00 , 281.98 , 2.58 , 218.25
2024-11-05 09:16:00.510 , 1090.00 , 239.40 , 0.69 , 224.90 , 1273.00 , 269.02 , 1.84 , 216.40
2024-11-05 09:16:00.510 , 96.00 , 17.23 , 0.70 , 183.76 , 794.00 , 183.70 , 2.79 , 236.91
2024-11-05 09:16:00.510 , 2.00 , 0.06 , 1.00 , 28.75 , 428.00 , 104.96 , 1.93 , 251.11
2024-11-05 09:16:00.510 , 555.00 , 121.27 , 0.75 , 223.75 , 950.00 , 202.79 , 1.70 , 218.59
2024-11-05 09:16:00.510 , 602.00 , 130.50 , 0.66 , 221.98 , 1145.00 , 245.87 , 1.75 , 219.89
2024-11-05 09:16:00.510 , 743.00 , 162.96 , 0.71 , 224.59 , 1357.00 , 293.55 , 2.67 , 221.51
2024-11-05 09:16:00.510 , 1045.00 , 226.43 , 0.65 , 221.88 , 1660.00 , 270.72 , 1.64 , 167.00
2024-11-05 09:16:00.510 , 771.00 , 169.41 , 0.72 , 225.01 , 1226.00 , 257.42 , 2.59 , 215.01
2024-11-05 09:16:00.510 , 849.00 , 187.22 , 0.66 , 225.81 , 1402.00 , 297.61 , 2.39 , 217.37
2024-11-05 09:16:00.510 , 560.00 , 118.54 , 0.87 , 216.77 , 1198.00 , 260.72 , 3.36 , 222.85
2024-11-05 09:16:00.510 , 689.00 , 150.91 , 0.91 , 224.29 , 1182.00 , 253.07 , 2.83 , 219.24
2024-11-05 09:16:00.510 , 885.00 , 193.29 , 0.67 , 223.65 , 1328.00 , 278.37 , 2.37 , 214.65
2024-11-05 09:16:00.510 , 1002.00 , 216.83 , 0.62 , 221.59 , 1285.00 , 275.33 , 2.10 , 219.40
2024-11-05 09:16:00.510 , 644.00 , 140.24 , 0.68 , 223.00 , 1230.00 , 276.88 , 3.68 , 230.51
2024-11-05 09:16:00.510 , 806.00 , 174.81 , 0.67 , 222.09 , 1291.00 , 288.75 , 2.84 , 229.03
2024-11-05 09:16:00.510 , 886.00 , 192.21 , 0.69 , 222.14 , 1284.00 , 264.24 , 2.26 , 210.73
2024-11-05 09:16:00.510 , 794.00 , 174.85 , 0.69 , 225.50 , 1315.00 , 282.59 , 2.70 , 220.06
2024-11-05 09:16:00.510 , 635.00 , 141.91 , 0.74 , 228.84 , 1295.00 , 282.25 , 3.07 , 223.18
2024-11-05 09:16:00.510 , 939.00 , 207.42 , 0.71 , 226.19 , 1313.00 , 269.39 , 2.16 , 210.10
2024-11-05 09:16:00.510 , 810.00 , 176.52 , 0.74 , 223.15 , 1186.00 , 245.04 , 2.46 , 211.57
2024-11-05 09:16:00.510 , 753.00 , 164.61 , 0.79 , 223.85 , 1393.00 , 298.03 , 2.70 , 219.09
2024-11-05 09:16:00.510 , 688.00 , 149.63 , 0.80 , 222.70 , 1236.00 , 264.45 , 3.14 , 219.09
2024-11-05 09:16:00.510 , 760.00 , 167.81 , 0.72 , 226.10 , 1317.00 , 282.19 , 2.72 , 219.41
2024-11-05 09:16:00.510 , 889.00 , 195.46 , 0.70 , 225.14 , 1299.00 , 270.02 , 2.36 , 212.86
2024-11-05 09:16:00.510 , 838.00 , 184.31 , 0.77 , 225.22 , 1272.00 , 266.12 , 2.33 , 214.24
2024-11-05 09:16:00.510 , 675.00 , 148.18 , 0.82 , 224.79 , 1177.00 , 252.61 , 3.03 , 219.78
2024-11-05 09:16:00.510 , 747.00 , 159.78 , 0.82 , 219.02 , 1355.00 , 289.43 , 2.58 , 218.73
2024-11-05 09:16:00.510 , 857.00 , 189.21 , 0.83 , 226.08 , 1202.00 , 249.07 , 2.36 , 212.19
2024-11-05 09:16:00.510 , 642.00 , 141.57 , 1.01 , 225.80 , 1225.00 , 264.59 , 3.01 , 221.18
2024-11-05 09:16:00.510 , 432.00 , 94.03 , 1.04 , 222.89 , 1260.00 , 282.89 , 3.82 , 229.90
2024-11-05 09:16:00.510 , 762.00 , 165.55 , 0.91 , 222.47 , 1181.00 , 247.59 , 2.58 , 214.68
2024-11-05 09:16:00.510 , 820.00 , 186.05 , 0.83 , 232.33 , 1117.00 , 229.95 , 2.25 , 210.80
2024-11-05 09:16:00.510 , 620.00 , 142.08 , 0.92 , 234.67 , 1262.00 , 297.53 , 3.45 , 241.42
2024-11-05 09:16:00.510 , 749.00 , 170.54 , 0.92 , 233.15 , 1159.00 , 265.18 , 3.15 , 234.29
2024-11-05 09:16:00.510 , 846.00 , 187.01 , 0.91 , 226.35 , 1179.00 , 270.11 , 2.72 , 234.60
2024-11-05 09:16:00.510 , 676.00 , 158.87 , 0.86 , 240.66 , 1250.00 , 269.17 , 2.71 , 220.50
2024-11-05 09:16:00.510 , 767.00 , 176.37 , 0.82 , 235.47 , 1182.00 , 275.61 , 2.94 , 238.77
2024-11-05 09:16:00.510 , 686.00 , 163.26 , 0.78 , 243.70 , 1290.00 , 248.16 , 2.94 , 196.99
2024-11-05 09:16:00.510 , 679.00 , 158.03 , 0.80 , 238.32 , 1274.00 , 284.28 , 2.91 , 228.50
2024-11-05 09:16:00.510 , 877.00 , 200.83 , 0.79 , 234.49 , 1123.00 , 270.43 , 2.84 , 246.59
2024-11-05 09:16:00.510 , 693.00 , 163.88 , 0.78 , 242.16 , 1289.00 , 277.41 , 2.77 , 220.38
2024-11-05 09:16:00.510 , 648.00 , 154.94 , 0.78 , 244.85 , 1297.00 , 282.05 , 2.92 , 222.68
2024-11-05 09:16:00.510 , 828.00 , 187.39 , 0.76 , 231.75 , 1321.00 , 282.00 , 2.48 , 218.60
2024-11-05 09:16:00.510 , 903.00 , 200.34 , 0.76 , 227.18 , 1169.00 , 238.97 , 2.23 , 209.33
2024-11-05 09:16:00.510 , 533.00 , 119.16 , 0.75 , 228.93 , 1339.00 , 296.53 , 3.37 , 226.77
2024-11-05 09:16:00.510 , 808.00 , 181.14 , 0.76 , 229.56 , 1232.00 , 257.34 , 2.48 , 213.90
2024-11-05 09:16:00.510 , 667.00 , 149.45 , 0.77 , 229.45 , 1267.00 , 274.66 , 2.89 , 221.98
2024-11-05 09:16:00.510 , 872.00 , 196.48 , 0.74 , 230.73 , 1246.00 , 258.32 , 2.32 , 212.30
2024-11-05 09:16:00.510 , 682.00 , 152.65 , 0.74 , 229.20 , 1291.00 , 278.90 , 2.90 , 221.22
2024-11-05 09:16:00.510 , 765.00 , 172.00 , 0.74 , 230.24 , 1164.00 , 241.50 , 2.63 , 212.45
2024-11-05 09:16:00.510 , 754.00 , 171.07 , 0.78 , 232.33 , 1264.00 , 279.64 , 2.77 , 226.54
2024-11-05 09:16:00.510 , 891.00 , 209.60 , 0.75 , 240.89 , 1183.00 , 274.68 , 2.46 , 237.76
