wbm,1732945090974,0,res,1052656,1052656
wbm,1732945090974,1,res,1052656,1052656
wbm,1732945090974,3,res,1052656,1052656
wbm,1732945090974,2,res,1052656,1052656
wbm,1732945095910,1,res,1052656,2105312
wbm,1732945095910,0,res,1052656,2105312
wbm,1732945095911,2,res,1052656,2105312
wbm,1732945095912,3,res,1052656,2105312
wbm,1732945103845,0,res,1052656,3157968
wbm,1732945103845,1,res,1052656,3157968
wbm,1732945103845,3,res,1052656,3157968
wbm,1732945103846,2,res,1052656,3157968
wbm,1732945111779,1,res,1052656,4210624
wbm,1732945111780,0,res,1052656,4210624
wbm,1732945111782,2,res,1052656,4210624
wbm,1732945111784,3,res,1052656,4210624
wbm,1732945134200,1,res,1052656,5263280
wbm,1732945134200,0,res,1052656,5263280
wbm,1732945134202,3,res,1052656,5263280
wbm,1732945134203,2,res,1052656,5263280
wbm,1732945135257,0,free,5265328,0
wbm,1732945135263,1,free,5265328,0
wbm,1732945135270,2,free,5265328,0
wbm,1732945135276,3,free,5265328,0
